mouse_id,session_id,cluster_id,si,ssi,p_val
4132.0,3.0,61.0,0.7177493503222033,5.144241592177828,0.001
4132.0,3.0,98.0,0.9674997046905428,4.048413182340291,0.001
4132.0,4.0,48.0,0.5143257022656196,3.1202859007603716,0.011
4132.0,6.0,3.0,0.8447990307532826,6.460845410129412,0.0
4132.0,6.0,19.0,1.2164678780528828,6.786655116848822,0.0
4132.0,6.0,46.0,0.5560922086439098,6.542517190678154,0.0
4132.0,6.0,67.0,0.8551499447597127,4.679542129131207,0.002
4133.0,2.0,12.0,1.8537645878525313,4.3501303290127336,0.004
4133.0,2.0,14.0,1.463804914251368,4.715678302149721,0.004
4133.0,2.0,15.0,0.5607379649959836,5.13858771120674,0.001
4133.0,2.0,19.0,0.842292592004758,4.508708941124196,0.001
4133.0,2.0,20.0,0.8390914287369923,4.020275716044428,0.002
4133.0,4.0,53.0,0.644583155254353,8.997824736183537,0.003
4133.0,5.0,24.0,0.5513434098997764,6.736460330325554,0.001
4134.0,3.0,46.0,1.4795745858476932,3.099524086770955,0.007
4135.0,1.0,17.0,0.5874349541402543,7.58677675615966,0.0
4135.0,1.0,28.0,0.524469444798161,5.39013171238904,0.005
4135.0,1.0,34.0,0.5097489760460806,5.299092502701245,0.001
4135.0,2.0,62.0,0.7127887813607516,14.852017154986777,0.001
4137.0,2.0,13.0,1.2366690123832154,5.001705939865627,0.005
4137.0,2.0,16.0,1.075040671295933,5.383350520332452,0.001
4137.0,2.0,67.0,0.9097884648304548,4.725208967251049,0.002
4137.0,2.0,68.0,0.8661189372015643,4.5129531652535615,0.005
4137.0,2.0,69.0,0.8437886032708879,4.722964476340667,0.002
4137.0,2.0,75.0,0.7604868378899355,4.043618220012294,0.004
