mouse_id,session_id,cluster_id,si,ssi,p_val
4131.0,10.0,64.0,1.6172982091990726,3.035687038665413,0.001
4131.0,11.0,146.0,3.4254848831915417,3.770859160198981,0.015
4131.0,16.0,38.0,0.831875035448062,15.778232807744615,0.001
4131.0,16.0,70.0,0.8411890240263084,16.20478982460383,0.001
4131.0,16.0,110.0,0.5555776183091262,15.960163044912195,0.001
4131.0,17.0,2.0,2.0427686947426076,5.851595651546554,0.001
4131.0,17.0,4.0,2.3054192879354245,5.594113742573729,0.001
4131.0,17.0,9.0,0.5790748440266409,3.7072666122664564,0.001
4131.0,17.0,48.0,0.5511992711045962,3.975644659060596,0.001
4131.0,17.0,56.0,1.8343182186410232,4.725986935761386,0.001
4131.0,17.0,131.0,0.5482059884040366,3.6095623203601708,0.003
4131.0,17.0,135.0,0.5102627025399308,5.6917156337583386,0.001
4131.0,17.0,141.0,2.276476273346782,5.43745631056354,0.001
4131.0,17.0,171.0,1.8577201621308301,5.1058222470803285,0.001
4131.0,17.0,178.0,2.1462295479077507,5.42884580429114,0.001
4131.0,17.0,183.0,2.059945762771584,4.710979699725169,0.001
4131.0,17.0,253.0,0.7420948060261784,3.9254459503934864,0.001
4131.0,17.0,258.0,0.9618982883150518,4.915519140994918,0.001
4131.0,19.0,4.0,1.2217056623966616,6.149235168515444,0.002
4131.0,19.0,5.0,0.734073697788749,5.483132668815544,0.001
4131.0,19.0,44.0,0.7279462772915849,4.8046155504264485,0.002
4131.0,19.0,48.0,1.1221462515806875,5.033665875193689,0.005
4131.0,19.0,58.0,1.8414683260407239,5.184119825743138,0.002
4131.0,3.0,21.0,0.5044845825353704,6.892226165653777,0.001
4131.0,3.0,60.0,1.0891387181376804,4.242405528331415,0.003
4138.0,7.0,72.0,0.5014491361764809,5.56059320363788,0.0
4138.0,7.0,74.0,0.6326594645182363,4.273736041869839,0.004
4138.0,7.0,153.0,0.6624201762375115,5.560809753104503,0.0
